hardware,cpu,driver,profile,status,provisional,workers,extra_irq_cpus,rx_queues,throughput_mpps,dataplane_cycles_per_packet,dataplane_instructions_per_packet,main_cycles_per_packet,main_instructions_per_packet,system_cycles_per_packet,system_instructions_per_packet,repeats,window_seconds,throughput_sd_mpps,qualification
ConnectX-4,Intel Xeon Gold 6146,RDMA-DV,primary,final,false,1,0,2,15.803,206.595,426.372,9.631,5.273,216.226,431.645,3,20,,true Ethernet64 maximum under overload; zero PAUSE physical errors and discards
ConnectX-4,Intel Xeon Gold 6146,RDMA-DV,primary,final,false,2,0,2,28.983,225.307,472.307,5.274,2.867,230.581,475.175,3,20,,true Ethernet64 maximum under overload; balanced RX queues; zero PAUSE physical errors and discards
ConnectX-4,Intel Xeon Gold 6146,RDMA-DV,primary,final,false,3,0,3,42.165837,232.156,441.863,3.626,1.978,235.782,443.841,3,20,0.061144,true Ethernet64 source-limited lower bound; three balanced RX queues and dedicated worker QPs; zero physical errors discards and PAUSE
ConnectX-4,Intel Xeon Gold 6146,DPDK mlx5,primary,final,false,1,0,1,16.349,199.614,495.183,9.363,5.231,208.977,500.413,3,20,,true Ethernet64 maximum under overload; zero PAUSE physical errors and discards
ConnectX-4,Intel Xeon Gold 6146,DPDK mlx5,primary,final,false,2,0,2,30.141,216.687,536.490,5.062,2.811,221.748,539.301,3,20,,true Ethernet64 maximum under overload; balanced RX queues; zero PAUSE physical errors and discards
ConnectX-4,Intel Xeon Gold 6146,DPDK mlx5,primary,final,false,3,0,3,42.212717,231.946,524.858,3.653,2.031,235.600,526.888,3,20,0.029838,true Ethernet64 source-limited lower bound; main TXQ inactive and three worker TXQs exclusive; zero physical errors discards and PAUSE
ConnectX-4,Intel Xeon Gold 6146,AF_XDP ZC,strict,final,true,1,0,1,3.598,906.946,1631.191,41.931,23.206,948.877,1654.397,3,20,,true Ethernet64 clean strict control; IRQ and NAPI colocated and counted; ZC proven; v2 kernel fix under review
ConnectX-4,Intel Xeon Gold 6146,AF_XDP ZC,strict,final,true,2,0,2,3.588,1818.283,3171.267,42.120,23.166,1860.403,3194.433,3,20,,true Ethernet64 clean strict control at same source rate as 1W; not a scaling maximum; v2 kernel fix under review
ConnectX-4,Intel Xeon Gold 6146,AF_XDP ZC,maximum,final,true,1,1,1,6.139,1160.393,2074.962,24.950,13.579,1185.344,2088.541,3,20,,true Ethernet64 maximum under overload; one separate IRQ CPU counted; ZC proven; v2 kernel fix under review
ConnectX-4,Intel Xeon Gold 6146,AF_XDP ZC,maximum,final,true,2,2,2,11.752,1210.859,2183.032,12.870,7.022,1223.729,2190.054,3,20,,true Ethernet64 maximum under overload; two separate IRQ CPUs counted; balanced XSKs; v2 kernel fix under review
ConnectX-5,Intel Xeon Gold 6248R,RDMA-DV,primary,final,false,1,0,1,24.310402,127.237,331.600,2.170,3.407,129.407,335.007,3,20,0.004353,maximum true Ethernet64; zero PAUSE
ConnectX-5,Intel Xeon Gold 6248R,RDMA-DV,primary,final,false,2,0,2,45.389341,135.840,331.216,1.148,1.799,136.988,333.015,3,20,0.059406,maximum true Ethernet64; balanced RX queues; zero PAUSE
